;;;;;;;;;;;;;;;;
;;;;;;;;evento que causou as avarias;;idade da pessoaa que morreu, no caso de 1 fatalidade;;;;;;
;estado;cidade;area_da_industria;area_especifica;cod_CNAE;processo;processo_especifico;evento;evento_especifico;idade*;vitimas;fatalidades;grau;mês;ano;url
;PR;Ponta Grossa;Alimentos;Soja;C10;Manutenção;Manutenção da parte elétrica na unidade de esmagamento de soja;Choque elétrico;choque elétrico seguido por queda de altura;34;1;1;4;2;2022;https://g1.globo.com/pr/campos-gerais-sul/noticia/2022/02/16/eletricista-morre-apos-acidente-enquanto-trabalhava-em-industria-de-ponta-grossa.ghtml
;MS;Campo Grande;Alimentos;Frigorífico;C10;Manutenção;manutenção na máquina;Queda;Caiu no triturador;37;1;1;4;8;2021;https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/08/30/homem-morre-em-acidente-apos-cair-em-triturador-de-carne-de-industria-em-ms.ghtml
;SP;Itupeva;Alimentos;Cerveja;C10;NaN;NaN;Incêndio;A causa seria um tanque com 15 mil litros de líquido inflamável que entrou em combustão e provocou o incêndio;NaN;1;0;5;4;2022;https://g1.globo.com/sp/sorocaba-jundiai/noticia/2022/04/06/incendio-atinge-industria-de-cerveja-em-itupeva.ghtml
;SP;Valinhos;Química;NaN;C20;Produção;transferência da matéria prima por bomba para o tanque;Vazamento;vazamento de hidróxido de amônio;NaN;0;0;3;3;2022;https://g1.globo.com/sp/campinas-regiao/noticia/2022/03/16/amoniaco-vaza-em-industria-multinacional-de-valinhos-e-e-contido-pelo-corpo-de-bombeiros.ghtml
;SP;Itararé;Plásticos;Embalagens;C22;Construção civil;construção de um galpão;Choque elétrico;Raio;37;3;1;4;10;2021;https://g1.globo.com/sp/itapetininga-regiao/noticia/2021/10/27/policia-apura-se-pedreiro-que-morreu-atingido-por-raio-em-galpao-tinha-condicoes-adequadas-de-trabalho.ghtml
;RS;Araucária;Alimentos;Óleos;C10;Produção;NaN;Vazamento de ar quente;deslocamento de ar quente de uma máquina;NaN;6;0;3;2;2020;https://g1.globo.com/pr/parana/noticia/2020/02/09/funcionarios-de-industria-de-oleos-sofrem-queimaduras-em-acidente-com-maquina-em-araucaria.ghtml
;SC;Laguna;Alimentos;Óleos Farinha;C10;Limpeza;limpeza de tanque;Religamento inesperado;afogamento em tanque;NaN;3;3;5;6;2017;https://g1.globo.com/sc/santa-catarina/noticia/um-mes-apos-acidente-morre-3-trabalhador-que-caiu-em-tanque-de-industria-de-alimentos-em-laguna.ghtml
;MG;Belo Horizonte;Derivados de petróleo e biocombustíveis;Piche;C19;Transporte;Distribuição;Batida entre veículos;Acidente de trânsito;NaN;0;0;3;3;2022;https://g1.globo.com/mg/minas-gerais/noticia/2022/03/18/toneladas-de-piche-derramam-no-corrego-sarandi-e-barreira-e-instalada-para-evitar-que-produto-chegue-a-lagoa-da-pampulha.ghtml
;SC;Blumenau;Têxtil;NaN;C13;Construção civil;obras de ampliação;Desabamento;NaN;NaN;2;0;3;11;2019;https://g1.globo.com/sc/santa-catarina/noticia/2019/11/21/dois-operarios-ficam-feridos-apos-cair-de-telhado-em-blumenau.ghtml
;SP;Mogi das Cruzes;Metalurgia;Aço;C24;Produção;transporte de aço líquido até o forno de fundiçã;Queda de objeto;Defeito na esteira de transporte que liberou ar quente;NaN;5;0;3;7;2016;https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2016/07/acidente-com-aco-liquido-deixa-cinco-feridos-em-industria-de-mogi.html
;MG;Montes Claros;Farmacêutica;Produtos veterinários;C21;Limpeza;impeza de um tanque de produção;Vazamento;Falta de oxigênio (hipoxia);24;2;1;4;9;2014;https://g1.globo.com/mg/grande-minas/noticia/2014/09/funcionario-morre-em-acidente-em-industria-de-produtos-veterinarios.html
;SP;Sertãozinho;Metalurgia;NaN;C24;Manutenção;NaN;Religamento inesperado;preso em maquinário;NaN;1;1;4;4;2014;https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2014/04/empregado-morre-em-acidente-de-trabalho-em-industria-de-sertaozinho.html
